Job_Title,Company,Location,Salary_Min,Salary_Max,Description,Extracted_Skills,Longitude,Latitude,URL,Created,Experience_years,Experience_Level, Scikit_Learn,AWS,Docker,Google_Analytics,apache_airflow,azure,big_data,data_pipelines,deep_learning,etl,gcp,hadoop,java,kpi,kafka,kubernetes,machine_learning,pandas,power_bi,pytorch,python,r,sql,snowflake,spark,tableau,tensorflow,Avg_Salary,Skills
Analytics Consultant,Tiger Analytics,"Jersey City, Hudson County",147018.75,147018.75,"Job Description Job Description Tiger Analytics is an advanced analytics consulting firm. We are the trusted analytics partner for several Fortune 100 companies, enabling them to generate business value from data. Our consultants bring deep expertise in Data Science, Machine Learning, and AI. Our business value and leadership have been recognized by various market research firms, including Forrester and Gartner. We are looking for someone with a good blend of business consulting skills and a da…",[],-74.0447,40.721832,https://www.adzuna.com/details/5044780307?utm_medium=api&utm_source=019ec8e4,2025-02-10,13,expert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,147018.75,['machine_learning']
Data Scientist,Fivecast,"Adelaide, Adelaide Region",41184.0,41184.0,"2025/26 Data Science Summer Internship Summer Internship: Nov 2025- Feb 2026 Paid at $30 per hour 12 week full time internship Amazing learning & training program Real projects & work Mentor and buddy program Opportunity to join us as a graduate Our Data Science Intern will work closely with other members of the Data Science team to learn how to manage and process data, as well as design and conduct experiments to analyse results. You will have the opportunity to develop Python software compone…",[],138.59607,-34.917705,https://www.adzuna.com.au/details/5046399446?utm_medium=api&utm_source=019ec8e4,2025-02-12,1,junior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,41184.0,['python']
Data Engineer,EDT Global Pty Ltd.,"Melbourne, Melbourne Region",92400.0,99000.0,"Our government client is looking for an expert in AI and cloud technologies. Looking for a thought leader to drive developments and innovative solutions in the AI space based around data-driven information and analysis. Qualifications Computer science, data science, statistics, mathematics degree or a related field. 3 years in data science with a focus on machine learning and AI. Data & AI certification Microsoft Certified: Azure AI Engineer Associate Cloud platform AI / ML certifications Skill…",[],144.957935,-37.806509,https://www.adzuna.com.au/details/5055127807?utm_medium=api&utm_source=019ec8e4,2025-02-19,2,mid_level,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,95700.0,"['azure', 'machine_learning']"
Data Engineer,SRA Information Technology,"Barton, South Canberra",99000.0,132000.0,"Senior Software Developer | Full Stack Developer (AWS, Python, DevOps) An exciting opportunity is available for a Senior Software Developer to join a federal government agency as part of an AI & Frontier Technologies team within its Innovation and Digital Services division. This role focuses on delivering high-impact software solutions using emerging technologies, AWS, and DevOps practices. Location: ACT, NSW, QLD, VIC (Hybrid – Canberra-based preferred, remote considered with occasional travel…",[],149.133481,-35.309391,https://www.adzuna.com.au/details/5082054934?utm_medium=api&utm_source=019ec8e4,2025-03-08,7,senior,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,115500.0,"['AWS', 'python']"
Data Scientist,OpenClassrooms,"La-Madeleine, Lille",117720.0,209280.0,"Description du poste Apprenez un métier d’avenir en alternance avec OpenClassrooms. Un partenaire de l’école OpenClassrooms recherche un Data Scientist / Machine Learning Engineer (F/H) en alternance, pour préparer une de ses formations diplômantes reconnues par l’État. Attention : cette offre ne s’adresse qu’aux candidats à l’alternance qui effectuent leur formation avec OpenClassrooms. Seules les candidatures répondant à ces critères seront étudiées. Avec OpenClassrooms, vous apprendrez un mé…",[],3.06302,50.63718,https://www.adzuna.fr/land/ad/5077642636?se=Coo3J_r97xGwBbnwyHA-oA&utm_medium=api&utm_source=019ec8e4&v=434B15F0FF47E9C89D9951528CB3FC7A22E58E32,2025-03-05,10,expert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,163500.0,['machine_learning']
Data Scientist,Virgin Atlantic,"Crawley, West Sussex",51924.6,51924.6,"Senior Analyst - Data Science - Crawley Job details Salary: Competitive Hours: Full Time Location: Hybrid working -The VHQ Crawley(3 days on site and 2 days from home) Contract: Permanent Closing Date: 8th March 2025 In a nutshell Are you ready to transform data into powerful insights that drive the future of Virgin Atlantic? As a Senior Data Scientist, you will harness predictive modelling, cutting-edge machine learning and GenAI to deliver actionable insights that directly influence key busin…",[],-0.182914,51.1133,https://www.adzuna.co.uk/jobs/land/ad/5082428007?se=YoPaMvr97xG4RvxJ6qmL_Q&utm_medium=api&utm_source=019ec8e4&v=B9C2747CD8769947668EBCD8CB36EE812BE27C04,2025-03-08,8,senior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,51924.6,['machine_learning']
Data Scientist,ZENOVO LTD,"Cardiff, Cardiff County",113400.0,113400.0,"We are seeking a Data Science Team Lead to join a client in Cardiff, working on-site on an ad-hoc basis. Leading a growing team of Data Scientists, Data Engineers & Machine Learning Engineers, you will be at the forefront of creating and working on next-generation technologies and systems that are recognised worldwide. Key Responsibilities: - Oversee data science and machine learning projects from research phase, through to assessment and then production. - Lead the design & development of Mach…",[],-3.1805,51.4813,https://www.adzuna.co.uk/jobs/details/5032099050?utm_medium=api&utm_source=019ec8e4,2025-02-01,6,senior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,113400.0,['machine_learning']
Data Scientist,Jet2.com and Jet2holidays,"Leeds, West Yorkshire",62408.72,62408.72,"What you will be doing Reporting to the General Manager - Data Science, you'll oversee a number of Data Science teams, owning the delivery of high-quality solutions, while being able to remain hands on and get into the detail. As our Data Science Manager , you'll collaborate with senior business stakeholders and data teams, promote and help evolve our ways of working, and ensure our teams build out advanced and measurable analytics and machine learning solutions that realise demonstrable value …",[],-1.54912,53.799599,https://www.adzuna.co.uk/jobs/details/5058830137?utm_medium=api&utm_source=019ec8e4,2025-02-21,13,expert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,62408.72,['machine_learning']
Data Scientist,Jet2.com,"Hyde Park, Leeds",63125.11,63125.11,"You'll oversee a number of Data Science teams, owning the delivery of high-quality solutions, while being able to remain hands on and get into the detail. As our Data Science Manager, you'll collaborate with senior business stakeholders and data teams, promote and help evolve our ways of working, and ensure our teams build out advanced and measurable analytics and machine learning solutions that realise demonstrable value to our business. As our Data Science Manager, you'll have access to a wid…",[],-1.560123,53.815909,https://www.adzuna.co.uk/jobs/details/5046402910?utm_medium=api&utm_source=019ec8e4,2025-02-11,14,expert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,63125.11,['machine_learning']
Data Scientist,Vitality,"Strand, Central London",72068.31,72068.31,"About The Role Team – Data Science Working Pattern - Hybrid – 2 days per week in the Vitality London Office. Full time, 37.5 hours per week. We are happy to discuss flexible working Top 3 skills needed for this role: Deep experience of developing and deploying impactful machine learning applications in a commercial environment. Proven past experience of leading a high-performing data science team. Experience developing and deploying models in a cloud based environment. What this role is all abo…",[],-0.119059,51.51163,https://www.adzuna.co.uk/jobs/details/5036481195?utm_medium=api&utm_source=019ec8e4,2025-02-04,12,expert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,72068.31,['machine_learning']
Data Analyst,Perspectum,"Cowley, Oxford",30240.0,30240.0,"Are you passionate about the potential of data to drive innovation and change patient lives? Do you dream of applying your skills in mathematics and coding to cutting-edge projects in Machine Learning and Medical Image Analysis? If so, we are excited to offer two great 12month internship opportunities within our dynamic Data Science team, where you will have the chance to immerse yourself in groundbreaking research and contribute to impactful projects . About the Roles As a Data Science Intern,…",[],-1.206926,51.729035,https://www.adzuna.co.uk/jobs/details/5082420182?utm_medium=api&utm_source=019ec8e4,2025-03-08,1,junior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30240.0,['machine_learning']
Data Scientist,Tenth Revolution Group,"Birmingham, West Midlands",50400.0,75600.0,"A growing Microsoft Partner Consultancy are looking for a passionate AI Consultant join their impressive team. The role is home-based, with some element of travel to client sites when required, and to company conferences and events. For this reason, they're able to consider candidates across the UK. This role sits within their specialist AI Practice - focused on providing cutting-edge solutions for their clients using the latest AI tech including Gen-AI, Machine Learning, Open AI, Co-Pilot etc.…",[],-1.89359,52.483002,https://www.adzuna.co.uk/jobs/details/5051093518?utm_medium=api&utm_source=019ec8e4,2025-02-15,5,mid_level,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,63000.0,['machine_learning']
Data Scientist,Tenth Revolution Group,"Southampton, Hampshire",56700.0,75600.0,"A growing Microsoft Partner Consultancy are looking for a passionate AI Consultant join their impressive team. The role is home-based, with some element of travel to client sites when required, and to company conferences and events. For this reason, they're able to consider candidates across the UK. This role sits within their specialist AI Practice - focused on providing cutting-edge solutions for their clients using the latest AI tech including Gen-AI, Machine Learning, Open AI, Co-Pilot etc.…",[],-1.40323,50.904999,https://www.adzuna.co.uk/jobs/details/5060793475?utm_medium=api&utm_source=019ec8e4,2025-02-22,3,mid_level,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,66150.0,['machine_learning']
Data Scientist,Tenth Revolution Group,"Reading, Berkshire",50400.0,75600.0,"A growing Microsoft Partner Consultancy are looking for a passionate AI Consultant join their impressive team. The role is home-based, with some element of travel to client sites when required, and to company conferences and events. For this reason, they're able to consider candidates across the UK. This role sits within their specialist AI Practice - focused on providing cutting-edge solutions for their clients using the latest AI tech including Gen-AI, Machine Learning, Open AI, Co-Pilot etc.…",[],-0.969088,51.455002,https://www.adzuna.co.uk/jobs/details/5060793507?utm_medium=api&utm_source=019ec8e4,2025-02-22,2,mid_level,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,63000.0,['machine_learning']
Data Analyst,Moloco,"London, UK",51408.0,57456.0,"About Moloco: Moloco is a machine learning company empowering organizations of all sizes to grow and unlock the full value of their unique first-party data, elevating the traditional path to performance advertising. While the largest technology companies have proven the speed and scale of ad-targeting utilizing data— the same robust performance powered by machine learning has previously been unavailable beyond their platforms. That's where Moloco steps in. With Moloco's powerful combination of …",[],-0.139134,51.503378,https://www.adzuna.co.uk/jobs/details/5072298494?utm_medium=api&utm_source=019ec8e4,2025-03-03,0,junior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,54432.0,['machine_learning']
Machine Learning Engineer,BYRON'S HOLDING S.P.A.,"Provincia di Roma, Lazio",54500.0,76300.0,"Direct message the job poster from BYRON'S HOLDING S.P.A. Seniority level Associate Employment type Full-time Job function Information Technology Industries: IT Services and IT Consulting Job Title Generative AI & Machine Learning Engineer Data Scientist - Generative AI Specialist Python and Kubernetes Software Engineer - Data, AI/ML & Analytics Graph Drawing Data Scientist (Rif. 2025-41) Senior Business Analyst | ML/AI/Data Science Data Business Insight & Development – Industry Sector [Life Sc…",[],12.715378,41.936224,https://www.adzuna.it/land/ad/5080633148?se=iAqMxPr97xGwBbnwyHA-oA&utm_medium=api&utm_source=019ec8e4&v=FFFBD2485F3D860038BD65EEC65607B844AC2D0C,2025-03-07,2,mid_level,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,65400.0,"['kubernetes', 'machine_learning', 'python']"
Data Engineer,Hunters Group,"Perugia, Provincia di Perugia",54500.0,76300.0,"245persone hannogià visualizzato questa offerta Dettagli opportunità Settore: Funzione: Tipo di Contratto: Codice opportunità: Descrizione Innovativa e prestigiosa azienda di prodotto, leader internazionale in ambito Artificial Intelligence Principali responsabilità L'AI Engineer avrà le seguenti responsabilità Project Management: Condurre progetti di Machine Learning end-to-end, coinvolgendo interazioni con il cliente, raccolta dei requisiti e stime di tempi; Analisi dei Requisiti : Collaborar…",[],12.391248,43.105793,https://www.adzuna.it/land/ad/4934754322?se=iAqMxPr97xGwBbnwyHA-oA&utm_medium=api&utm_source=019ec8e4&v=D82F8F3E67D770F54A3D09084AFB32134898DEEB,2024-11-11,0,junior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,65400.0,['machine_learning']
Data Engineer,Sia,"Provincia di Milano, Lombardia",32700.0,54500.0,"Descrizione dell'azienda Descrizione del lavoro Sia Partners ricerca un Associate Consultant - Data Scientist / AI Engineer da inserire in progetti in Italia o all’estero di trasformazione digitale all'interno della Business Line globale di Artificial Intelligence e Data Science. In Sia Partners, il team di AI&DS non solo sviluppa e applica le proprie competenze in ambito Artificial Intelligence e Machine Learning, ma si occupa anche di comprendere fenomeni legati al Business dei nostri Clienti…",[],9.138379,45.473082,https://www.adzuna.it/land/ad/5080649138?se=lP5xyvr97xGwBbnwyHA-oA&utm_medium=api&utm_source=019ec8e4&v=A67E9B455588AECF1CC21AB1F1D2067B535F9319,2025-03-07,3,mid_level,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,43600.0,['machine_learning']
Analytics Consultant,Dux Data,"Apeldoorn, Gelderland",44472.0,65400.0,Wil je jouw brede kennis van data science technieken verder uitbreiden en inzetten? En word jij enthousiast om de laatste technieken en machine learning -oplossingen toe te passen om de brede vraagstukken van onze opdrachtgevers te beantwoorden? Lees dan snel verder Als data scientist bij Dux Group pak jij de vraagstukken van onze opdrachtgevers op en vertaal je deze naar data science-oplossingen. Je zet data om naar iets bruikbaars en begrijpelijks voor onze opdrachtgevers terwijl je te maken …,[],5.94785,52.20236,https://www.adzuna.nl/details/5047321504?utm_medium=api&utm_source=019ec8e4,2025-02-12,3,mid_level,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,54936.0,['machine_learning']
Data Scientist,Veneta B.V.,"Zwolle, Overijssel",78480.0,88944.0,"Als Data Manager ben jij de drijvende kracht achter ons AI- en databeleid. Je vertaalt businessbehoeften naar datagedreven oplossingen, leidt een team van specialisten en zet machine learning en AI in om klantinzichten en operationele processen te optimaliseren. Met jouw expertise zorg je voor een toekomstbestendige data-architectuur waarin AI een centrale rol speelt. Je maakt impact door data om te zetten in concrete waarde en draagt zo direct bij aan de verdere groei van Veneta.com. Jouw uitd…",[],6.04468,52.5489,https://www.adzuna.nl/details/5062182883?utm_medium=api&utm_source=019ec8e4,2025-02-24,13,expert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,83712.0,['machine_learning']
Machine Learning Engineer,able.tech,"Warszawa, mazowieckie",18000.0,27000.0,"able.tech is a dynamic, software development agency that specialises in web application development, data pipelines, analytics, business intelligence, UI/UX design, and Azure-hosted cloud services. Our mission is to build robust, best-in-class B2B software solutions while fostering rewarding, lasting partnerships with our clients. While we are based out of the UK, we are fully remote, with a tight-knit and diverse team located across the Middle East, Europe and USA. Job Description: As the Mach…",[],21.2453,52.21519,https://www.adzuna.pl/land/ad/5052415090?se=inE-qPv97xGzGerf98hqtQ&utm_medium=api&utm_source=019ec8e4&v=F0E38175A4A78F6C7215B68D79917B3E45D1400C,2025-02-16,0,junior,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22500.0,"['azure', 'data_pipelines']"
Machine Learning Engineer,ITligent Group Sp. z o.o.,"Warszawa, mazowieckie",69000.0,75000.0,"Wymagane, LLM, RAG, AI, Machine Learning, Python, PyTorch, TensorFlow, MflowMile widziane, Kubernetes, CI/CD, AWS, OpenAI, Snowflake, OpenShiftTwój zakres obowiązków, Współpraca przy tworzeniu algorytmów AI, Współpraca przy tworzeniu rozwiązań opartych o LLM, Współpraca przy tworzeniu rozwiązań opartych o RAG, Implementacja modeli AIMinimum 3 letnie ogólne doświadczenie developerskie (Python), Minimum roczne komercyjne doświadczenie związane z LLM (wdrażanie/utrzymanie), Znajomość bibliotek i n…",[],21.2453,52.21519,https://www.adzuna.pl/details/5062907084?utm_medium=api&utm_source=019ec8e4,2025-02-25,3,mid_level,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,72000.0,"['AWS', 'kubernetes', 'machine_learning', 'pytorch', 'python', 'snowflake', 'tensorflow']"
Data Scientist,Ringier Axel Springer Polska Sp. z o.o.,"Warszawa, mazowieckie",15600.0,15600.0,"Wymagane, PythonMile widziane, TensorFlow, AWSSystem operacyjny, WindowsTwój zakres obowiązków, Zespół Data Science optymalizuje i automatyzuje filary naszego biznesu, głównie skupiając się na rekomendacjach treści i reklam. Dbamy, aby użytkownicy i użytkowniczki dostawali to, czego jeszcze nie wiedzą, że chcą. To wyzwanie, bo mamy tylko ułamek sekundy na podjęcie decyzji, skalując rozwiązania na ponad 20 milionów użytkowników i użytkowniczek w Polsce., Oprócz rekomendacji zajmujemy się też inn…",[],21.2453,52.21519,https://www.adzuna.pl/details/5076628823?utm_medium=api&utm_source=019ec8e4,2025-03-05,0,junior,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15600.0,['tensorflow']
Data Scientist,Goldman Tech Resourcing  Ltd,"Johannesburg, Gauteng",48600.0,81000.0,"A South African company that provides information, valuations, and solutions to help businesses make decisions, is looking for a Head of Advanced Data Science to join their team Skills Required BCom/BSc Honors/MCom/MSc/PhD Statistics, Mathematics or computer science (must have proven machine learning building experience) 10 years or more relevant analytical experience with at least 3 in ML/AI Exceptional ability to work with, analyse, interpret, and develop insights products on data. Strong und…",[],28.026104,-26.183117,https://www.adzuna.co.za/details/5051080075?utm_medium=api&utm_source=019ec8e4,2025-02-15,10,expert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,64800.0,['machine_learning']
